"","state","year","stationary","moving","NA.x.x","hijacked","boarding","fired upon","detained","NA.y.x","small","big","NA","attempted","acutal","NA.x.y","early","day","evening","night","NA.y.y"
"64","Brazil",2005,1,0,1,0,2,0,0,0,1,1,0,0,2,0,1,0,0,1,0
"65","Brazil",2006,7,0,0,0,6,0,0,1,0,7,0,1,6,0,1,1,3,2,0
"66","Brazil",2007,4,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,3,1,0
"67","Brazil",2008,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"68","Brazil",2009,5,0,0,0,5,0,0,0,1,3,1,0,5,0,0,0,3,2,0
"69","Brazil",2010,9,0,0,0,9,0,0,0,0,8,1,0,9,0,0,0,0,9,0
"70","Brazil",2011,3,0,0,0,1,0,0,2,0,3,0,2,1,0,0,0,1,2,0
"71","Brazil",2012,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
"72","Brazil",2013,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"73","Brazil",2014,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"74","British Indian Ocean Territory",2012,0,2,0,0,0,1,0,1,0,2,0,2,0,0,1,0,0,1,0
"75","Bulgaria",2002,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"76","Bulgaria",2003,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"77","Cambodia",1993,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
"78","Cambodia",1995,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"79","Cambodia",1996,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
"80","Cambodia",1997,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
"81","Cambodia",2000,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"82","Cambodia",2003,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
"83","Cambodia",2004,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
"84","Cameroon",1997,1,0,2,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,3
"85","Cameroon",1998,5,0,0,0,5,0,0,0,0,2,3,0,5,0,0,0,0,0,5
"86","Cameroon",1999,3,0,0,0,3,0,0,0,0,2,1,0,3,0,0,0,0,0,3
"87","Cameroon",2000,2,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,2
"88","Cameroon",2001,7,0,0,0,7,0,0,0,0,6,1,0,7,0,0,0,2,3,2
"89","Cameroon",2002,5,0,0,0,5,0,0,0,0,3,2,0,5,0,2,0,0,2,1
"90","Cameroon",2003,2,0,0,0,2,0,0,0,0,1,1,0,2,0,1,0,0,1,0
"91","Cameroon",2004,3,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,2,1
"92","Cameroon",2005,2,0,0,0,2,0,0,0,1,1,0,0,2,0,0,0,0,2,0
"93","Cameroon",2006,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"94","Cameroon",2008,2,1,0,0,3,0,0,0,2,0,1,0,3,0,0,0,0,3,0
"95","Cameroon",2009,2,1,0,0,2,0,0,1,0,2,1,1,2,0,0,0,1,2,0
"96","Cameroon",2010,5,0,0,0,4,1,0,0,0,3,2,1,4,0,0,0,3,2,0
"97","Cameroon",2012,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"98","Cameroon",2013,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"99","Cameroon",2014,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"100","China",1993,0,0,23,0,0,0,0,23,1,18,4,0,0,23,2,7,7,3,4
"101","China",1994,0,0,11,2,4,0,0,5,1,10,0,4,6,1,4,1,2,2,2
"102","China",1995,17,11,5,5,23,0,0,5,2,17,14,5,28,0,0,4,5,9,15
"103","China",1996,5,5,2,0,9,1,0,2,2,7,3,3,9,0,0,0,1,4,7
"104","China",1997,2,3,3,2,4,0,0,2,2,5,1,2,6,0,0,0,0,0,8
"105","China",1998,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"106","China",1999,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
"107","China",2000,5,1,0,1,5,0,0,0,1,5,0,0,6,0,0,0,0,0,6
"108","China",2001,0,3,0,0,0,0,0,3,0,3,0,3,0,0,1,0,1,1,0
"109","China",2002,5,0,0,0,4,0,0,1,0,5,0,1,4,0,0,0,3,2,0
"110","China",2003,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"111","China",2004,2,2,0,0,2,0,0,2,0,4,0,1,2,1,0,1,2,1,0
"112","China",2005,4,0,0,0,4,0,0,0,0,4,0,0,4,0,1,1,0,1,1
"113","China",2006,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"114","China",2009,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"115","China",2010,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"116","China",2011,2,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0
"117","China",2012,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"118","Cocos Is.",2001,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
"119","Colombia",1993,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
"120","Colombia",1996,2,1,0,0,2,0,0,1,0,3,0,1,2,0,0,0,0,0,3
